Fecha;Fondo;n;Peso;Var_porc;Actualizacion;porc_1_5;porc_2_5
3/7/2023;BESTIDEAS;31;78.76;0.199193647;;
3/7/2023;BOLSAESPANA;32;99.21;0.982071634;;
3/7/2023;BOLSAEUROPA;57;88.86;-0.529552892;;
3/7/2023;BOLSAINTERNACIONAL;55;89.93;-0.14683892;;
3/7/2023;BOLSAUSA;64;91.67;0.028406039;;
3/7/2023;DIVIDENDO;43;91.96;0.477056421;;
3/7/2023;FINANCIERO;38;86.64;0.728022549;;
3/7/2023;GLOBAL;44;87.82;-0.238441122;;
3/7/2023;JAPON;54;89.59;1.775797934;;
3/7/2023;MEGATRENDS;41;96.67;-0.502115269;;
3/7/2023;NEWENERGY;42;93.59;0.17251708;;
3/7/2023;SANIDAD;53;93.8;-1.285174255;;
3/7/2023;SECTORINMOBILIARIO;43;97.74;0.802487426;;
3/7/2023;SMALLCAPS;51;88.3;0.324706832;;
3/7/2023;TECNOLOGICO;41;98.74;0.127345106;;
3/7/2023;ZVIX;2;10;-0.014716703;;
3/7/2023;ZVSTOXX;6;30;3.169639919;;
3/7/2023;ZVXN;2;10;0.163682864;;
4/7/2023;ALPHA;20;59.96;-0.187187613;;
4/7/2023;BESTIDEAS;14;39.51;-0.174616297;;
4/7/2023;BOLSAESPANA;32;99.21;-0.163895937;;
4/7/2023;BOLSAEUROPA;57;88.86;0.177103534;;
4/7/2023;BOLSAINTERNACIONAL;22;33.78;0.028724896;;
4/7/2023;BOLSAUSA;1;0;0;;
4/7/2023;DIVIDENDO;33;69.24;0.004760783;;
4/7/2023;FINANCIERO;20;42.99;-0.080816112;;
4/7/2023;GLOBAL;16;30.91;0.129412598;;
4/7/2023;JAPON;54;89.59;-1.031398445;;
4/7/2023;MEGATRENDS;16;36.62;0.057314336;;
4/7/2023;NEWENERGY;29;67.56;0.027253387;;
4/7/2023;SANIDAD;18;33.81;0.032401815;;
4/7/2023;SECTORINMOBILIARIO;26;58.53;0.48082013;;
4/7/2023;SMALLCAPS;51;88.3;0.103066575;;
4/7/2023;TECNOLOGICO;11;19.62;0.149204118;;
4/7/2023;ZVIX;1;0;0;;
4/7/2023;ZVSTOXX;3;0;0;;
4/7/2023;ZVXN;1;0;0;;
5/7/2023;ALPHA;27;81.72;-0.455101037;;
5/7/2023;BESTIDEAS;31;78.76;-0.692922962;;
5/7/2023;BOLSAESPANA;32;99.21;-0.696698979;;
5/7/2023;BOLSAEUROPA;57;88.86;-0.553839394;;
5/7/2023;BOLSAINTERNACIONAL;55;89.93;-0.179677481;;
5/7/2023;BOLSAUSA;64;91.67;0.027314474;;
5/7/2023;DIVIDENDO;43;91.96;-0.510174381;;
5/7/2023;FINANCIERO;38;86.64;-0.774126447;;
5/7/2023;GLOBAL;44;87.82;-0.06899654;;
5/7/2023;JAPON;54;89.59;-0.129547538;;
5/7/2023;MEGATRENDS;41;96.67;-0.227190565;;
5/7/2023;NEWENERGY;42;93.59;-1.413543222;;
5/7/2023;SANIDAD;53;93.8;0.045261145;;
5/7/2023;SECTORINMOBILIARIO;43;97.74;-0.365874976;;
5/7/2023;SMALLCAPS;51;88.3;-0.393397351;;
5/7/2023;TECNOLOGICO;41;98.74;0.026411304;;
5/7/2023;ZVIX;2;10;0.291970803;;
5/7/2023;ZVSTOXX;6;30;-0.031671002;;
5/7/2023;ZVXN;2;10;0.181177655;;
6/7/2023;ALPHA;27;81.72;-1.736394166;;
6/7/2023;BESTIDEAS;31;78.76;-0.887698665;;
6/7/2023;BOLSAESPANA;32;99.16;-1.826952929;;
6/7/2023;BOLSAEUROPA;57;90.98;-2.161927722;;
6/7/2023;BOLSAINTERNACIONAL;55;89.6;-1.147071055;;
6/7/2023;BOLSAUSA;64;91.98;-0.852812126;;
6/7/2023;DIVIDENDO;43;90.9;-1.475615661;;
6/7/2023;FINANCIERO;38;86.43;-1.555058292;;
6/7/2023;GLOBAL;44;87.82;-1.336316379;;
6/7/2023;JAPON;54;90.39;-1.663181983;;
6/7/2023;MEGATRENDS;41;98.16;-1.415204635;;
6/7/2023;NEWENERGY;42;94.18;-1.90304963;;
6/7/2023;SANIDAD;53;95.79;-1.07764821;;
6/7/2023;SECTORINMOBILIARIO;43;97.64;-1.628815749;;
6/7/2023;SMALLCAPS;51;88.22;-1.379602857;;
6/7/2023;TECNOLOGICO;41;97.59;-1.108924893;;
6/7/2023;ZVIX;2;10;0.888575458;;
6/7/2023;ZVSTOXX;6;30;1.546442065;;
6/7/2023;ZVXN;2;10;0.602712205;;
7/7/2023;ALPHA;20;59.96;-0.078808383;;
7/7/2023;BESTIDEAS;14;39.51;-0.065063677;;
7/7/2023;BOLSAESPANA;32;99.16;0.122851867;;
7/7/2023;BOLSAEUROPA;57;90.98;0.075014846;;
7/7/2023;BOLSAINTERNACIONAL;22;34.04;-0.075872631;;
7/7/2023;BOLSAUSA;1;0;0;;
7/7/2023;DIVIDENDO;33;68.16;0.057017765;;
7/7/2023;FINANCIERO;20;43.48;0.11849085;;
7/7/2023;GLOBAL;16;30.91;-0.030994136;;
7/7/2023;JAPON;54;90.39;-1.118758668;;
7/7/2023;MEGATRENDS;16;36.68;-0.068466443;;
7/7/2023;NEWENERGY;29;67.88;-0.092792397;;
7/7/2023;SANIDAD;18;33.93;-0.217399567;;
7/7/2023;SECTORINMOBILIARIO;26;58.04;-0.377790989;;
7/7/2023;SMALLCAPS;51;88.22;0.352654539;;
7/7/2023;TECNOLOGICO;11;19.55;0.030290644;;
7/7/2023;ZVIX;1;0;0;;
7/7/2023;ZVSTOXX;3;0;0;;
7/7/2023;ZVXN;1;0;0;;
10/7/2023;ALPHA;27;81.72;0.562862044;;
10/7/2023;BESTIDEAS;31;78.76;-0.056229586;;
10/7/2023;BOLSAESPANA;32;99.16;0.149273483;;
10/7/2023;BOLSAEUROPA;57;90.98;0.211157955;;
10/7/2023;BOLSAINTERNACIONAL;55;89.6;0.019893099;;
10/7/2023;BOLSAUSA;64;91.98;0.132160845;;
10/7/2023;DIVIDENDO;43;90.9;0.095847585;;
10/7/2023;FINANCIERO;38;86.43;0.25543991;;
10/7/2023;GLOBAL;44;87.82;0.349322068;;
10/7/2023;JAPON;54;90.39;-0.634014746;;
10/7/2023;MEGATRENDS;41;98.16;0.556681303;;
10/7/2023;NEWENERGY;42;94.18;0.244605896;;
